"","participant","nLL","aic","prec1","prec2","gamma","kappa","lambda_b","lambda_f","beta","zeta","rho","chi","psi"
"result.1",1,-64.0555789222298,-106.11115784446,39.999891711813,37.2882638932052,0.0610321222568372,0.559856777890723,0.0066531915217638,0.0391347124653726,0.0374291960932576,0.0903208170377068,0.030955551393553,0.162238672839599,0.0209382917248236
"result.2",2,640.179104975879,1302.35820995176,2.88765334071534,0.502398629573342,0.57710550018352,0.550907075752428,2.3799477376146,3.26628465785557,0.394431777463522,0.801259570655767,0.490334364668081,0.0109411247276196,0.336261167645061
"result.3",3,558.231383811556,1138.46276762311,12.7696314888282,1.4091022535293,0.365286853157518,0.547120553751671,2.60798915260483,1.25628700893909,0.40112222783706,0.397418529441515,0.188993116910561,0.352006643870407,0.418315041268154
"result.4",4,547.469482496277,1116.93896499255,11.9937290085456,3.50214701914605,0.27222034459371,0.287661283803481,0.510915664700063,0.044262285759131,0.30234644399578,0.99462107554195,0.604329949896433,0.0973370213205303,0.195594917544221
"result.5",5,530.915866749274,1083.83173349855,11.6189834741029,39.3949233010769,0.107514443321629,0.774867916680676,0.00650130356032751,0.276227361420017,0.355824736066791,0.0697032944299281,0.633276218873396,0.00184733054482878,0.261468038421823
"result.6",6,152.563953982169,327.127907964337,18.6724663196326,0.118390406480219,0.0912252176621337,0.00439962523501919,0.0866722752095735,4.71746121929365,0.000355635506377672,0.946798440022405,0.650652328923735,0.00970022582265396,0.166346965376388
"result.7",7,588.726938821188,1199.45387764238,8.79570739180436,5.14985981397753,0.386214771773666,0.419490491021786,0.372805951152042,0.00248982618883401,0.419638186408431,0.0860002768686836,0.320461286398301,0.160442054559075,0.00245940173503681
"result.8",8,422.344318610206,866.688637220413,23.5052900632822,6.95079744325362,0.197879895407127,0.916318638527982,0.207841890348828,0.773012672578222,0.204797657263174,0.979253680123277,0.72532587239869,0.150149771410033,0.108147446017783
"result.9",9,488.766710104743,999.533420209485,12.3881206369398,7.50025466130331,0.208787201774865,0.0981053400115986,3.90834442475472,0.952290632706184,0.310518923791005,0.967457045408816,0.673293750034979,0.125078892100074,0.00784163368022464
"result.10",10,578.130996866134,1178.26199373227,22.2680582486378,9.13194619456244,0.316543287104388,0.278939453295837,0.262792184747261,0.00228748652535753,0.326021037660198,0.369095607243416,0.563244928275079,0.0620143762789667,0.214089598447773
"result.11",11,460.225653851584,942.451307703167,13.6176089103776,1.77169620180058,0.240711833144406,0.508605942510779,0.599227859518945,0.304089095254517,0.0653642039174742,0.835182240465656,0.668491630663845,0.260201499288229,0.0505801989357555
"result.12",12,615.489743949095,1252.97948789819,12.2084010880592,22.6044290237671,0.138002855835855,0.177585396437901,0.393893020639573,0.00604401517946876,0.643112378094466,0.991244349422826,0.896121512068066,0.0369384085316518,0.0567002901943384
"result.13",13,615.9038532374,1253.8077064748,4.15116608401668,0.130842182979208,0.432966764210615,0.738556147023984,1.14325808016304,1.67184706674786,0.333359441947465,0.549917013187586,0.510894219800578,0.128204667315843,0.259668516227975
"result.14",14,636.310643773658,1294.62128754732,0.103942258701426,13.4300743730219,0.556620596243531,0.96801596641738,0.00335637605084365,1.28599351719394,0.482384204191132,0.993508016204714,0.474944773055884,0.225985511477233,0.0642226935896138
"result.15",15,620.908766086155,1263.81753217231,4.56211701313487,7.94151611253591,0.481184449873365,0.63849539329209,4.88492767058459,4.91708503694473,0.643973897593771,0.385948798036397,0.0057777645389,0.272258775495702,0.000308035143023474
"result.16",16,489.618955824302,1001.2379116486,14.2847461649264,8.49604744342074,0.2997206982778,0.767037469481209,0.209189849278907,1.1173019616399,0.300326349397643,0.804582002722118,0.343657363008272,0.021313801047455,0.404213238626691
"result.17",17,519.079140114956,1060.15828022991,12.4555687363707,10.7492816122757,0.448968764804508,0.987002973323905,3.73782711336389,0.0545045702643253,0.37601378961319,0.704705013217488,0.00178008853886842,0.29440843120889,0.697155846023875
"result.18",18,162.851815468878,347.703630937756,11.6910039486526,1.47988141179319,0.0477121356370902,0.159792846568948,0.00745270059737282,4.88553473414756,0.0292237369930859,0.994486253396394,0.182236137716293,0.80647343394669,0.0040947352199789
"result.19",19,496.24325856399,1014.48651712798,37.6102802340001,12.0734688055087,0.187312120271148,0.304508655518359,0.670147695444554,0.222151242762667,0.302861099558357,0.926632429938763,0.824150453195965,0.12040919299321,0.010395305593522
